file_num,file_name
10368,국내최초휴대전화SH-100S
10369,매통
1036,품사전성법
10370,망사리와테왁
10371,만인산萬人傘
10372,떡살
10373,동인경銅人經
10374,도롱이
10375,당사주책唐四柱冊
10376,다식판
10377,농가월령農家月令
10378,별은내가슴에
10379,겨울연가
1037,피동
10380,대장금
10381,천자총통
10382,조총
10383,도요토미히데요시초상화
10384,명황책봉문
10385,권응수초상
10386,남태
10387,나막신
10388,기일비망기忌日備忘記
10389,금오계첩金吾契帖
1038,피동문
10390,경진년대통력庚辰年大統曆
10391,거문고
10392,갓신
10393,감모여재도感慕如在圖
10394,사명대사영정
10395,통영도
10396,임란첩보서목
10397,평양성탈환도
10398,진주성도
10399,김시민선무공신교서
1039,피동법
103,시간부사
10400,주먹도끼
10401,되맞춘몸돌
10402,가로날도끼
10403,찍개
10404,여러면석기
10405,슴베찌르개
10406,6.15남북공동선언
10407,깨끗한숲만들기
10408,내가만든전압
10409,같은표정다른감정
1040,피동표현
10410,눈의착각
10411,세계최대의종려나뭇잎화석
10412,밀개
10413,톱니날
10414,긁개
10415,돌날
10416,고산리식토기
10417,이음낚시
10418,생동하는지구
10419,SOS
1041,피동형
10420,화려한지배자
10421,공룡
10422,임진왜란의종전과동아시아질서의재편
10423,초량왜관도
10424,화양지
10425,역사문화실개관
10426,간돌도끼
10427,간돌검
10428,별모양도끼
10429,새김덧띠무늬토기
1042,ㅎ히읗
10430,구멍무늬토기
10431,가지무늬토기
10432,농경문화의보고
10433,대평리
10434,2
10435,000년전의국제항
10436,늑도
10437,경남서부지역의가야
10438,창녕말흘리유적
10439,육조대사법보단경-혜능스님의머리가동쪽으로온이유
1043,하고2
10440,화석일까
10441,아닐까
10442,붉은간토기
10443,검은간토기
10444,농경문청동기
10445,요령식동검
10446,옥목걸이
10447,미송리형토기
10448,사피엔스와함께살았던인류들
10449,중생대해양파충류
1044,하며
10450,외계에서날아온편지
10451,핀치의발견
10452,밀러-유리실험
10453,수증기스크린홀로그램
10454,한국식동검
10455,검파형동기
10456,덧띠토기
10457,철제투겁창
10458,명도전
10459,쌍두령
1045,하소서체
10460,사람머리모양토기
10461,사천선진리비석
10462,청자상감매화대나무학무늬매병보물제1168호
10463,도기바퀴장식뿔잔보물제637호최규진기증-
10464,지역이름이있는분청사기
10465,지리산의차완당전집-
10466,청동거울잔무늬거울
10467,금귀걸이
10468,구슬
10469,흑요석으로만든도구
1046,하십시오체
10470,갈돌
10471,뒤지개
10472,가락바퀴
10473,지리산의처사
10474,남명조식의삶남명선생문집-
10475,1862년진주농민항쟁단계일기-
10476,저울처럼공평한사회
10477,형평운동
10478,화성탐사
10479,양력과받음각
1047,하의어
10480,발찌
10481,조개팔찌
10482,바리덧무늬토기
10483,바리빗살무늬토기
10484,장군
10485,자수태극기刺繡太極旗
10486,은장도銀粧刀
10487,새와비행기날개비교
10488,좌우이동하는공
10489,종이비행기발사
1048,하이픈
10490,방사기
10491,증류탑
10492,아라미드섬유
10493,원삼圓衫
10494,용두레
10495,오방장두루마기
10496,오륜행실도五倫行實圖
10497,오낭五囊
10498,양주산대가면楊州山臺假面말뚝이
10499,도끼
1049,학교문법
104,시간표현
10500,쌍륙雙六
10501,쌍따비
10502,소삼신소三神
10503,국제우주정거장
10504,두암실개관
10505,분청사기상감수파어문편병분청사기파도물고기무늬납작병
10506,분청사기철화삼엽문부분청사기세잎무늬장군
10507,백자철화죽문죽절형병대나무무늬각진병
10508,백자철화운룡문호백자구름용무늬항아리
10509,설피雪皮
1050,한글날
10510,상여喪輿
10511,삼강행실도三綱行實圖
10512,산통算筒
10513,사인교四人轎
10514,붓
10515,베틀
10516,박가분朴家粉
10517,물레
10518,앙부일구
10519,기리고차
1051,한어
10520,거중기
10521,비거
10522,거북선
10523,대동여지도
10524,문자도文字圖
10525,한글맞춤법통일안
10526,말모이원고
10527,사민필지
10528,바둑이와철수초등국어
10529,천상열차분야지도
1052,한자어
10530,자격루
10531,발효이야기
10532,사이클로이드곡선
10533,목조불단佛壇장엄화莊嚴花
10534,언문반절표완
10535,흑립黑笠
10536,흉배胸背
10537,화로火爐
10538,화관花冠
10539,성덕대왕신종에새겨진글씨탑본
1053,한자어계수사
10540,합천장흥고가새겨진국화무늬항아리
10541,청동금은입사향완
10542,은입사연초합煙草盒
10543,나전거북등무늬좌경坐鏡
10544,추계유금도
10545,수파실험장치
10546,박지조화분청사기
10547,꽃무늬편병
10548,모란넝쿨무늬항아리
10549,어룡모양주자
1054,한테①②
10550,연꽃넝쿨무늬베개
10551,석류모양주자
10552,테슬라코일
10553,원소주기율표
10554,타코마브리지붕괴사건
10555,지진체험실
10556,태풍체험실
10557,물가풍경무늬정병
10558,죽순모양주자
10559,오리모양연적
1055,한테서
10560,소학
10561,어몽룡이그렸다고전하는밤에핀매화그림
10562,한호가푸른색종이에금가루로쓴글씨첩
10563,정전기체험반데그라프
10564,도선주변의자기를발견하다
10565,나한도
10566,정조어필
10567,소상팔경도
10568,서유견문
10569,천자문
1056,함축적의미
10570,조천도
10571,현자총통
10572,만력기묘명승자총통
10573,조선통신사행렬도
10574,사도세자묘지명
10575,조일수호조규약강화도조약
10576,갑신정변과김옥균
10577,한성전차회사광고지
10578,독립신문
10579,독립협회안내문과보조금영수증
1057,합성명사
10580,대한제국애국가
10581,정순왕후가상존호도감의궤
10582,재주정리자
10583,화성성역의궤정리자로인쇄본
10584,자하신위가쓴당나라사공도의시
10585,묵소거사자찬
10586,한나라동경의명문을임서한글
10587,전동기와발전기
10588,용수철파동
10589,빛으로거리재기
1058,합성부사
10590,적외선카메라
10591,생명의퍼즐혈액형
10592,김정희가북경에가는조운경을위해지은송별시
10593,주학년을위해쓴함추각행서대련
10594,오준이쓴당나라유장경의시
10595,이광사가쓴송나라소식의시
10596,동토윤순거선생이쓴무이구곡가
10597,흥법사진공대사비석
10598,생식과발생
10599,생태계와광합성
1059,합성형용사
105,#NAME?
10600,노벨상히어로즈
10601,우주의근원을밝히다
10602,금관
10603,데니태극기
10604,북새선은도
10605,감로를받다
10606,연꽃넝쿨무늬붓꽂이
10607,국화넝쿨무늬대접
10608,거북등갑무늬화장상자
10609,모란넝쿨무늬표주박모양주자
1060,합용병서
10610,임시의정원태극기
10611,을사늑약
10612,병합조약
10613,대한자강회월보창간호
10614,안중근의사유묵
10615,토지조사사업준비관련자료
10616,포도동자무늬표주박모양주자
10617,풀꽃무늬표주박모양주자
10618,소나무인물무늬매병
10619,모란무늬항아리
1061,합자
10620,임진자
10621,활자보관장
10622,창씨개명호적부
10623,국민총력조선연맹포스터
10624,31독립선언서
10625,유관순수형기록표
10626,우주로보내는메시지
10627,KMTnet
10628,대동여지도목판
10629,연암집열하일기
1062,해라체
10630,동의보감
10631,면갑
10632,마패
10633,명성황후옥보
10634,고종옥보
10635,시공간우주여행
10636,태양의암호
10637,1m반사망원경
10638,나비정원
10639,통나무속의생물들
1063,혀뿌리소리
10640,곤충최고의건축가
10641,꿀벌
10642,금책
10643,돌복을입은아기
10644,한국과그이웃나라들
10645,지장보살
10646,약사불의정토
10647,영취산에서의설법
10648,노벨생리의학상생명을향한시선을바꾸다
10649,노벨물리학상인간의능력을확장하다
1064,혀앞소리
10650,신간회강령과규약
10651,대한민국임시약헌
10652,대한민국시민증
10653,조선건국가사집
10654,전국민의임시정부환영석상에서
10655,설법하는네부처
10656,아미타불의극락정토
10657,신중도
10658,아미타불의극락정토
10659,관음보살
1065,현대국어
10660,금귀걸이
10661,국내외동포에게고함
10662,북조선로동당창립대회
10663,UN한국위원회환영포스터
10664,5.10총선거포스터
10665,국회의원선거법
