단어,URL,설명
기획재정부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221024/1044010/MOV000361122_700X466.mp4,"중앙 행정 기관의 하나. 국가의 경제 정책 수립 및 총괄, 예산 편성 및 집행 관리, 조세와 국고, 외국환 따위에 관련된 제반 사무를 맡아본다. 2008년 2월 행정 조직 개편 때 기획 예산처와 재정 경제부가 통합되어 신설되었다. 2013년 3월 기획 재정부 장관이 부총리를 겸임하는 것으로 개편되었다."
국민 소환권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288121/MOV000294951_700X466.mp4,공직에 있는 사람이 신임을 잃었을 때 선거민들이 언제든지 소환할 수 있는 권리. 우리나라에서는 채택하지 않고 있다.
국민 투표제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288130/MOV000294995_700X466.mp4,헌법 개정안이나 국가 안위에 관한 중대 정책 따위를 국민 투표에 부쳐 최종적으로 결정하는 제도.
농림부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221020/1042616/MOV000361000_700X466.mp4,"식량, 농촌 개발, 농산물 유통 및 축산에 관한 사무를 맡아보던 중앙 행정 기관. 2008년 2월 해양 수산부 일부와 함께 농림 수산 식품부로 통합되었다."
교수형,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039506/MOV000360420_700X466.mp4,사형수의 목을 매어 죽이는 형벌.
국제 연합기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288149/MOV000295091_700X466.mp4,"1947년에 제정한, 국제 연합을 상징하는 기. 북극을 중심으로 한 세계 지도를 올리브 가지로 둘러싼 기장(旗章)을 청색 바탕에 흰색으로 나타내었다."
국제 연합 기술 원조처,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288150/MOV000295096_700X466.mp4,개발 도상국에 기술 원조를 제공하기 위한 국제 연합 기구. 제4회 국제 연합 총회에서 설치안을 가결하여 기술 원조 위원회와 함께 설치하였다.
끊다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039274/MOV000360301_700X466.mp4,"실, 줄, 끈 따위의 이어진 것을 잘라 따로 떨어지게 하다."
음성 기관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286283/MOV000287388_700X466.mp4,
음성 기호,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286284/MOV000287393_700X466.mp4,
음성 모음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286285/MOV000287398_700X466.mp4,
음성 언어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286286/MOV000287401_700X466.mp4,
음성학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286287/MOV000287404_700X466.mp4,
-음세,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286288/MOV000287407_700X466.mp4,"(('ㄹ'을 제외한 받침 있는 동사 어간 뒤에 붙어)) 하게할 자리에 쓰여, 기꺼이 하겠다는 뜻을 나타내는 종결 어미."
음소 문자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286290/MOV000287413_700X466.mp4,
음소적 표기법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286291/MOV000287418_700X466.mp4,
음운,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286292/MOV000287426_700X466.mp4,"말의 뜻을 구별하여 주는 소리의 가장 작은 단위. 사람들이 같은 음이라고 생각하는 추상적 소리로, ‘님’과 ‘남’이 다른 뜻의 말이 되게 하는 ‘ㅣ’와 ‘ㅏ’, ‘물’과 ‘불’이 다른 뜻의 말이 되게 하는 ‘ㅁ’과 ‘ㅂ’ 따위를 이른다. 음운은 사람들의 관념에 따라 그 수가 달라질 수 있다. 예를 들어 우리말의 ‘ㄹ’을 영어에서는 ‘l’과 ‘r’의 두 개의 음운으로 인식한다."
음운 교체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286293/MOV000287430_700X466.mp4,
음운 대응,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286295/MOV000287441_700X466.mp4,
음운 대응 법칙,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286296/MOV000287446_700X466.mp4,
음운 도치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286297/MOV000287453_700X466.mp4,
음운론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286299/MOV000287464_700X466.mp4,
음운 문자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286300/MOV000287469_700X466.mp4,한 음운이 한 글자로 되어 있는 문자. 로마자 따위가 있다.
음운 변화,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286303/MOV000287485_700X466.mp4,음운 체계 안의 어떤 음운 또는 그 체계 자체가 시간의 흐름에 따라 변화하는 일. 예를 들면 중세 국어에서 쓰이던 ‘ㅿ’ 등이 현대 국어로 오면서 ‘ㅅ’ 등으로 변한 것 따위가 있다.
음운 변동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286302/MOV000287480_700X466.mp4,형태소와 형태소가 결합할 때 어떤 음운이 다른 음운과 만나 그 음운의 모양이 달라지는 현상. 
음운학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286306/MOV000287500_700X466.mp4,"한자의 음운, 사성(四聲), 반절 따위에 관하여 연구하는 학문. 언어학의 한 분야이다.,음운론."
음의 생략,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286307/MOV000287505_700X466.mp4,"말을 빨리하기 위하여 소리를 줄이는 현상. ‘가아’가 ‘가’, ‘기쁘어’가 ‘기뻐’, ‘보았다’가 ‘봤다’로 되는 따위이다."
음절,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290268/MOV000287509_700X466.mp4,"발음할 때 한번에 낼 수 있는 소리의 단위. 혹은 한 뭉치로 이루어진 소리의 덩어리. 음절은 모음 하나로 이루어지기도 하고, 모음을 중심으로 하여 그 앞뒤에 자음이 연결되어서 이루어지기도 한다. ‘아침’의 ‘아’와 ‘침’ 따위이다. "
음절이루기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286311/MOV000287523_700X466.mp4,성음(成音).
ㅢ[의],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290269/MOV000287527_700X466.mp4,한글 자모 ‘ㅡ’와 ‘ㅣ’를 어울러 쓴 글자. 
의문 대명사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286316/MOV000287538_700X466.mp4,
의문사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286318/MOV000287546_700X466.mp4,
의문형,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286319/MOV000287549_700X466.mp4,
의미론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286323/MOV000287567_700X466.mp4,단어와 문장의 뜻과 실제 상황에 나타나는 발화의 뜻을 연구하는 학문. 언어학의 한 분야이다. 
의미 변화,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286324/MOV000287570_700X466.mp4,
-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286011/MOV000286624_700X466.mp4,‘-시어요’의 준말. 
-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286012/MOV000286626_700X466.mp4,‘-시어요’의 준말. 
-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286013/MOV000286628_700X466.mp4,‘-시어요’의 준말. 
-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347144/MOV000302164_700X466.mp4,‘-시어요’의 준말. 
-소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286016/MOV000286634_700X466.mp4,"((용언의 어간이나 어미 '-었-', '-겠-' 뒤에 붙어)) 하오할 자리에 쓰여, 설명ㆍ의문의 뜻을 나타내는 종결 어미."
-소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286017/MOV000286636_700X466.mp4,"((용언의 어간이나 어미 '-었-', '-겠-' 뒤에 붙어)) 하오할 자리에 쓰여, 설명ㆍ의문의 뜻을 나타내는 종결 어미."
소리대로 적기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286019/MOV000286640_700X466.mp4,
-소서,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286021/MOV000286647_700X466.mp4,"((받침 없는 동사 어간이나 'ㄹ' 받침인 용언의 어간 뒤에 붙어)) 합쇼할 자리에 쓰여, 정중한 부탁이나 기원을 나타내는 종결 어미."
손,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290174/MOV000286655_700X466.mp4,"((어미 '-다', '-ㄴ다', '-는다' 뒤에 붙어)) ((주로 '치다', '하다' 따위의 말 앞에 쓰여)) 양보의 뜻을 나타내는 보조사. "
수사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286026/MOV000286662_700X466.mp4,
수식어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286028/MOV000286669_700X466.mp4,수식언.
수식언,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286029/MOV000286673_700X466.mp4,
수혜동사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286033/MOV000286689_700X466.mp4,"돕다, 받다, 얻다, 잃다 등 수혜 관련 동사."
순경음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286034/MOV000286693_700X466.mp4,
순음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286035/MOV000286697_700X466.mp4,
-습니다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286040/MOV000286716_700X466.mp4,"(('ㄹ'을 제외한 받침 있는 용언의 어간이나 어미 '-었-', '-겠-' 뒤에 붙어)) 합쇼할 자리에 쓰여, 현재 계속되는 동작이나 상태를 있는 그대로 나타내는 종결 어미."
시간 부사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286041/MOV000286718_700X466.mp4,
시간 표현,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286042/MOV000286722_700X466.mp4,"시제나 선어말어미나 관형상형 어미, 시간 부사어 등으로 실현되는 표현."
-시어요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286047/MOV000286733_700X466.mp4,"(('이다'의 어간, 받침 없는 용언의 어간 또는 'ㄹ' 받침인 용언의 어간 뒤에 붙어)) 해요할 자리에 쓰여, 설명ㆍ의문ㆍ명령ㆍ요청의 뜻을 나타내는 종결 어미. 어미 ‘-시-’와 ‘-어요’가 결합한 말이다."
시제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290178/MOV000286737_700X466.mp4,
신라어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286050/MOV000286739_700X466.mp4,
