NO,단어,URL
79,음절,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290268/MOV000287509_700X466.mp4
80,음절이루기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286311/MOV000287523_700X466.mp4
81,ㅢ[의],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290269/MOV000287527_700X466.mp4
82,의문 대명사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286316/MOV000287538_700X466.mp4
83,의문사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286318/MOV000287546_700X466.mp4
84,의문형,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286319/MOV000287549_700X466.mp4
85,의미론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286323/MOV000287567_700X466.mp4
86,의미 변화,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286324/MOV000287570_700X466.mp4
87,-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286011/MOV000286624_700X466.mp4
88,-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286012/MOV000286626_700X466.mp4
89,-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286013/MOV000286628_700X466.mp4
90,-셔요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347144/MOV000302164_700X466.mp4
91,-소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286016/MOV000286634_700X466.mp4
92,-소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286017/MOV000286636_700X466.mp4
93,소리대로 적기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286019/MOV000286640_700X466.mp4
94,-소서,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286021/MOV000286647_700X466.mp4
95,손,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290174/MOV000286655_700X466.mp4
96,수사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286026/MOV000286662_700X466.mp4
97,수식어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286028/MOV000286669_700X466.mp4
98,수식언,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286029/MOV000286673_700X466.mp4
99,수혜동사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286033/MOV000286689_700X466.mp4
100,순경음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286034/MOV000286693_700X466.mp4
101,순음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286035/MOV000286697_700X466.mp4
102,-습니다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286040/MOV000286716_700X466.mp4
103,시간 부사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286041/MOV000286718_700X466.mp4
104,시간 표현,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286042/MOV000286722_700X466.mp4
105,-시어요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286047/MOV000286733_700X466.mp4
106,시제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290178/MOV000286737_700X466.mp4
107,신라어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286050/MOV000286739_700X466.mp4
108,신어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290179/MOV000286743_700X466.mp4
109,실질 형태소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286054/MOV000286755_700X466.mp4
110,ㅆ[쌍시옷],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290180/MOV000286767_700X466.mp4
111,쌍점,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290181/MOV000286769_700X466.mp4
112,-아,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286062/MOV000286777_700X466.mp4
113,-아,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286063/MOV000286779_700X466.mp4
114,-아,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290185/MOV000286781_700X466.mp4
115,-아라①,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286068/MOV000286789_700X466.mp4
116,-아라②,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286069/MOV000286791_700X466.mp4
117,-아야만,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286072/MOV000286797_700X466.mp4
118,-아요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286074/MOV000286802_700X466.mp4
119,-아요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286076/MOV000286806_700X466.mp4
120,아음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290186/MOV000286810_700X466.mp4
121,아주낮춤,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290187/MOV000286813_700X466.mp4
122,안긴 문장,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286081/MOV000286819_700X466.mp4
123,안 부정,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290188/MOV000286829_700X466.mp4
124,안 부정문,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286084/MOV000286832_700X466.mp4
125,안 부정법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286085/MOV000286836_700X466.mp4
126,안울림소리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286086/MOV000286840_700X466.mp4
127,알타이 어족,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286088/MOV000286847_700X466.mp4
128,압존법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286090/MOV000286857_700X466.mp4
129,-았,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290190/MOV000286862_700X466.mp4
130,-았,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286092/MOV000286864_700X466.mp4
131,-았었,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286095/MOV000286870_700X466.mp4
132,앞혓바닥소리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286096/MOV000286873_700X466.mp4
133,ㅐ[애],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290191/MOV000286876_700X466.mp4
134,-야,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286101/MOV000286884_700X466.mp4
135,야말로,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290195/MOV000286886_700X466.mp4
136,약모음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286103/MOV000286888_700X466.mp4
137,양성 모음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286105/MOV000286896_700X466.mp4
138,양태 부사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286108/MOV000286908_700X466.mp4
139,ㅓ[어],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290197/MOV000286914_700X466.mp4
140,-어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286111/MOV000286916_700X466.mp4
141,-어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286113/MOV000286920_700X466.mp4
142,어근,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286117/MOV000286929_700X466.mp4
143,어금닛소리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290198/MOV000286932_700X466.mp4
144,-어도,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286120/MOV000286937_700X466.mp4
145,어말,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286124/MOV000286945_700X466.mp4
146,어말 어미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286125/MOV000286948_700X466.mp4
147,국제 연합일,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288154/MOV000295123_700X466.mp4
148,의미 이동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286325/MOV000287573_700X466.mp4
149,접두사에 의한 파생어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286437/MOV000287939_700X466.mp4
150,접두어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286438/MOV000287947_700X466.mp4
151,접미사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286439/MOV000287951_700X466.mp4
152,접미사에 의한 파생어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286440/MOV000287955_700X466.mp4
153,접사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286441/MOV000287963_700X466.mp4
154,접속 부사어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286443/MOV000287970_700X466.mp4
155,접속어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290318/MOV000287975_700X466.mp4
156,정서적 의미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286447/MOV000287986_700X466.mp4
157,제삼 인칭,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286448/MOV000287990_700X466.mp4
158,제일 인칭,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286451/MOV000288002_700X466.mp4
159,제일 인칭 대명사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286452/MOV000288005_700X466.mp4
160,조건법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286454/MOV000288015_700X466.mp4
161,조사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286455/MOV000288018_700X466.mp4
162,조어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286456/MOV000288021_700X466.mp4
163,조어법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286459/MOV000288031_700X466.mp4
164,조어 성분,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286460/MOV000288035_700X466.mp4
165,조음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286461/MOV000288039_700X466.mp4
166,조음부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286464/MOV000288055_700X466.mp4
167,조음소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286465/MOV000288060_700X466.mp4
168,조음역,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286467/MOV000288072_700X466.mp4
169,조음점,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286469/MOV000288082_700X466.mp4
170,존경어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290321/MOV000288092_700X466.mp4
171,존대법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286473/MOV000288095_700X466.mp4
172,존칭어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286476/MOV000288107_700X466.mp4
173,종결 어미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286477/MOV000288111_700X466.mp4
174,종성,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286479/MOV000288118_700X466.mp4
175,종성자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286481/MOV000288128_700X466.mp4
176,종속적 관계,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286484/MOV000288139_700X466.mp4
177,종속적 연결 어미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286485/MOV000288143_700X466.mp4
178,-죠,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290323/MOV000288160_700X466.mp4
179,주격 조사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286492/MOV000288167_700X466.mp4
180,주동문,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286494/MOV000288175_700X466.mp4
181,주어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290325/MOV000288190_700X466.mp4
182,주어부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286499/MOV000288193_700X466.mp4
183,주체 존대법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286503/MOV000288213_700X466.mp4
184,준말,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290326/MOV000288218_700X466.mp4
185,줄임표,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286506/MOV000288224_700X466.mp4
186,중모음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286510/MOV000288234_700X466.mp4
187,중문,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286511/MOV000288238_700X466.mp4
188,중성,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290328/MOV000288252_700X466.mp4
189,중성 모음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286515/MOV000288255_700X466.mp4
190,중성자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286516/MOV000288260_700X466.mp4
191,중심적 의미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286519/MOV000288274_700X466.mp4
192,중음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290329/MOV000288278_700X466.mp4
193,중자음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286521/MOV000288281_700X466.mp4
194,-지,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290330/MOV000288294_700X466.mp4
195,-지,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286525/MOV000288296_700X466.mp4
196,-지,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286526/MOV000288298_700X466.mp4
197,-지마는,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286528/MOV000288302_700X466.mp4
198,지시 관형사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286530/MOV000288306_700X466.mp4
199,지시 대명사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286531/MOV000288311_700X466.mp4
200,지시 형용사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286533/MOV000288320_700X466.mp4
201,지역 언어학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286535/MOV000288328_700X466.mp4
